"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"1",0,-1.21616192251137,1.64859963090468,0.295744486105247,0.00254783070614333,0.285113315254166,0.00321378224241254,0.000478959731678357,0.00610635931894163,-4.31240922210485,0.8,-1.48201957810182,0.296372687692517,0.0024107867265085,0.285795643751912,-1.41972536771122,0.366781662437336,0.00309867352460003,0.353965597049775,0,0.04,0.43,0.203563445199849,0.892139209433223,-0.937428439138472,3.23660798164369,0.927083333333333,0.947916666666667
"2",0.1,-1.29749868866177,2.68977036266485,0.302273589265508,0.00246119489940839,0.291943438360925,0.00319862890678688,0.000468880408726467,0.00607321671690545,-4.37561874635222,0.8,-1.34057051127811,0.302504389435288,0.00263464748492763,0.292459082582989,-1.42215134648871,0.380226354751325,0.00293334975795602,0.368064597479384,0.1,0.08,0.41,0.124652657826942,0.839366723149393,-1.02030543862678,3.85586157694348,0.91304347826087,0.902173913043478
"3",0.2,-1.29708258855498,2.67586895896593,0.307081208038905,0.00236510450746162,0.297232789318571,0.00318676674242602,0.000457392332021255,0.00607331265790742,-4.43533961585893,0.8,-1.39652152750591,0.307819436850292,0.00240232481376858,0.298208341443996,-1.42489829831759,0.390241877570074,0.0027371960149641,0.378862163047061,0.2,0.1,0.43,0.127815709762608,0.934284143807862,-1.11156689234894,4.84326113801445,0.911111111111111,0.911111111111111
"4",0.3,-1.34021653307503,2.12108549462392,0.310204743811864,0.00225932376074396,0.300675157136182,0.00318536798218162,0.000444707482277699,0.00605315580315379,-4.50153403451032,0.8,-1.36129289391008,0.309520384143148,0.00231016593515372,0.300580007134857,-1.42704863742545,0.396535966045686,0.00253980710729406,0.385954153037709,0.3,0.11,0.42,0.0868321043504127,0.879100792689696,-1.19199450668959,3.90466653781429,0.921348314606742,0.887640449438202
"5",0.4,-1.42468180283992,1.42306071888798,0.311390459754119,0.00214433840313986,0.302225920426517,0.00318177639465302,0.000430624896867872,0.00604137043757756,-4.57091789936242,0.8,-1.36019580850748,0.311272175476703,0.00223815627902644,0.302635997328869,-1.42862707248997,0.398922333786082,0.00233769803412401,0.389167199190659,0.4,0.12,0.4,0.00394526965005275,0.74437238034647,-1.23039804929783,2.45279298605873,0.909090909090909,0.875
"6",0.5,-1.44372662790925,2.14418907851497,0.310597363478748,0.00202371304921134,0.302066487302958,0.00317470859287881,0.000415666073825684,0.00605571184552668,-4.58562546832245,0.8,-1.43555967862538,0.309692272175351,0.00203255109271797,0.301320595590419,-1.43073957768564,0.397329831578688,0.00212218099056729,0.388455314620048,0.5,0.15,0.42,-0.0129870502236118,0.788507532343995,-1.23545249832304,3.03019687296409,0.894117647058824,0.894117647058824
"7",0.6,-1.36320968800466,3.13056318598711,0.30797167187251,0.00189859515190759,0.299905863636044,0.0031987838227186,0.000399684374251621,0.00607708435953599,-4.63993248118013,0.8,-1.51478229061122,0.308394205438767,0.00175377923070891,0.300486995768425,-1.43256928211862,0.391805971182121,0.00190749680061216,0.38381461013552,0.6,0.14,0.45,0.0693595941139598,1.03158671247991,-1.36319648617311,4.20946732867455,0.883720930232558,0.918604651162791
"8",0.7,-1.4865042267566,2.51366967826047,0.303652957363043,0.00177053334815309,0.295868831401425,0.00320161522278807,0.000382974427739361,0.0060924892621291,-4.68202637717793,0.8,-1.46471342913889,0.303848488570133,0.0016777775028809,0.296648275213398,-1.43395698876519,0.382514570662924,0.00169784611760103,0.375391652848516,0.7,0.16,0.43,-0.0525472379914054,0.845908395458673,-1.3297268594716,3.31671656767776,0.869047619047619,0.880952380952381
"9",0.8,-1.46132142841035,2.72808005719286,0.297425613782359,0.00164149217790867,0.290234840494323,0.00321387954623923,0.000365338507749703,0.00610012862759897,-4.72455944118557,0.8,-1.53276501581308,0.296656572038103,0.00153256150630269,0.28966511487354,-1.43484292981019,0.369727684111432,0.0014995179629805,0.363431230045523,0.8,0.16,0.45,-0.0264784986001638,0.868274246700489,-1.41805794419852,3.10431906447805,0.869047619047619,0.892857142857143
"10",0.9,-1.40218996835631,3.64973318178772,0.289533908352773,0.00151198723915649,0.282833757947471,0.00322927778992793,0.00034713602092794,0.00614351032243564,-4.76688869887979,0.8,-1.53835545930579,0.289158224025653,0.0014485410315957,0.282564091489948,-1.43672441222887,0.35381237049778,0.00130430986347565,0.348325278234236,0.9,0.16,0.46,0.0345344438725547,1.03008696982623,-1.50813994349705,3.39083316824251,0.880952380952381,0.880952380952381
"11",1,-1.43991618918286,37.303730247859,0.280241060508039,0.00138407512043543,0.273946469242727,0.00323921941602127,0.000328441266448151,0.00613304220940371,-4.80382480625933,0.8,-1.47208552170013,0.28046859693241,0.00133110281918691,0.274731599075068,-1.4377353138977,0.335213199487106,0.00112905777625124,0.330458569999047,1,0.17,0.49,-0.00218087528515964,1.01210148898698,-1.65773528409168,3.11256292854692,0.855421686746988,0.855421686746988
