"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"0",-1.32598143836442,0.91225366944127,0.295915847385182,0.00261933682190088,0.285070108079648,0.00489724298443791,0.000493739083374621,0.00314528422633997,-4.23867752604847,0.8,-1.4529511889782,0.295414712233239,0.00250964811105126,0.284749371842907,-1.70245575208534,0.366781662437336,0.00254667416021958,0.352807025921733,0,0.04,0.35,0.376474313720925,0.688059907968793,-0.545569059303389,3.36088928359425,1,0.979166666666667
"0.1",-1.31752894719651,0.946021880202177,0.302367322553478,0.00254840735452702,0.291841091839186,0.004856832310718,0.000484972098825642,0.00311362547270352,-4.30201457105408,0.8,-1.40941243658397,0.302344533991747,0.00247950988629056,0.292239542954315,-1.79251181558256,0.380226354751325,0.00233206748844957,0.366223418724768,0.1,0.04,0.33,0.474982868386054,0.706936931029508,-0.503170964891069,3.53156512220926,1,0.947916666666667
"0.2",-1.28333299674299,1.32333432363567,0.307166376319498,0.00246441917321626,0.296916280618381,0.00482620134333574,0.000474723935112859,0.00308507450513312,-4.36454178935166,0.8,-1.43564594560692,0.306974556851801,0.00247014686943713,0.296684882694671,-1.88277927902922,0.390241877570074,0.00211511498263539,0.376341882918441,0.2,0.04,0.34,0.599446282286237,0.821976636416105,-0.430622970923127,4.35432012297159,1,0.947916666666667
"0.3",-1.21088862205772,14.3978172983803,0.310079647169039,0.00236879849014715,0.300228491412171,0.00480567041657359,0.000463029569336681,0.00306450116716297,-4.41530712549214,0.8,-1.44200264558436,0.310311544043482,0.00234665180674456,0.300388735490465,-1.97349985435201,0.396535966045686,0.00189754363958298,0.382881589683803,0.3,0.04,0.41,0.76261123229429,1.1050825816389,-0.399700497327073,7.91188031419234,1,0.9375
"0.4",-1.36978868280485,1.38043056160934,0.311214309340427,0.0022630848455162,0.301750899471019,0.00480109054489449,0.00044989707445565,0.00305484593555687,-4.46932208821293,0.8,-1.4297603497503,0.312279996741586,0.00217875240783313,0.303199237772447,-2.06152948622694,0.398922333786082,0.0016914471588995,0.385630977033016,0.4,0.07,0.38,0.691740803422085,0.660288535249604,-0.394891115362251,2.80680612409699,1,0.903225806451613
"0.5",-1.38054598918112,2.77925146232996,0.310382784979541,0.00214964655778957,0.301441323540869,0.00480801497565034,0.000435655476221747,0.00305831198782646,-4.52322950379226,0.8,-1.38334011196297,0.310599200098399,0.00230259059941649,0.301519245592831,-2.15418925252847,0.397329831578688,0.00148350794503157,0.384540660941456,0.5,0.08,0.42,0.77364326334735,0.680137155028878,-0.348904483154983,4.3845015793192,1,0.891304347826087
"0.6",-1.38848146010075,1.95999644128873,0.307654341510318,0.00202901499445447,0.299285185641902,0.00481635277041054,0.00042015117201934,0.00307318227814806,-4.5479452398219,0.8,-1.33199317941457,0.307420692389452,0.0021463541677399,0.299333013038418,-2.24834138584594,0.391805971182121,0.00128641920173074,0.379620992568989,0.6,0.09,0.44,0.859859925745193,0.649496138304012,-0.327682754150963,3.5598707606091,1,0.879120879120879
"0.7",-1.34238629778482,5.13411131463687,0.303129093692721,0.00190355551701624,0.295332524374142,0.00484338814126669,0.000403583971758719,0.00309797736974917,-4.58636884374407,0.8,-1.53029679962542,0.303502757993121,0.00169121941307791,0.295760470809849,-2.34115468123949,0.382514570662924,0.00110529111053297,0.371027025375927,0.7,0.1,0.44,0.998768383454671,0.87198166932774,-0.278425608431475,6.73829501470665,1,0.955555555555556
"0.8",-1.40456046575079,1.8328813873583,0.296908878829148,0.00177619193487031,0.289656193969342,0.00488124471257531,0.000386274807509513,0.0031268362854686,-4.61762801671892,0.8,-1.57798125627081,0.296860388955231,0.00155982864386393,0.28946656555151,-2.43002447762678,0.369727684111432,0.00094565599698068,0.358985826221512,0.8,0.13,0.45,1.02546401187599,0.685750382976224,-0.232099378755226,3.42953161774792,1,0.954022988505747
"0.9",-1.41572349970863,1.99383664783485,0.289034956971341,0.00164550313337774,0.282329145547233,0.00492307949761331,0.000368026705015277,0.00315662542260771,-4.64669901477782,0.8,-1.47509107678177,0.289058677402146,0.00160922077418898,0.282132092137589,-2.51948301474278,0.35381237049778,0.000800509289748577,0.343868305674081,0.9,0.15,0.44,1.10375951503415,0.721918565101386,-0.144283765376453,3.27715086199827,1,0.917647058823529
"1",-1.35496752767721,2.55556781737115,0.2796680114233,0.00151635774099628,0.273525540932212,0.00496380800953005,0.000349330962163272,0.00318485811577452,-4.6712756199003,0.8,-1.37009312094765,0.280517091795524,0.00151445661137403,0.274613021863949,-2.60846463045766,0.335213199487106,0.000671150356975103,0.326100194230901,1,0.16,0.49,1.25349710278046,0.920232353233856,-0.0725595985524214,4.69597711405978,1,0.892857142857143
