"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"1",0,-1.2758710030145,1.17949117696398,0.296033975058098,0.0026242344000515,0.285497721194258,0.00250429809204056,0.00048707271297458,0.00435167604275054,-4.23754458464402,0.8,-1.42433139387035,0.294731195655984,0.00257841529173713,0.284177568243194,-1.4094233604654,0.366781662437336,0.00326899867790877,0.353399708425653,0,0.04,0.28,0.133552357450898,0.704835009573042,-0.729919916004208,2.76530400641457,0.989583333333333,0.989583333333333
"2",0.1,-1.28499313522834,1.00034458873763,0.302671942230682,0.00255358414402217,0.292253078017127,0.00247735743814429,0.00047889169227926,0.00429958696987472,-4.30121061756273,0.8,-1.39637185155885,0.301631414447441,0.00265821733537824,0.2909931826103,-1.41203227897632,0.380226354751325,0.00312833457037895,0.367386768738125,0.1,0.03,0.29,0.127039143747978,0.677909938449178,-0.795699697829228,2.13914231137042,0.979381443298969,0.969072164948454
"3",0.2,-1.32602029912363,0.767906433817382,0.307566373061793,0.00246981119585503,0.297290489077553,0.00245554112041263,0.000469003744783533,0.00425167872774052,-4.36455762072905,0.8,-1.4463074898541,0.307278554156382,0.00235330274344412,0.297275281483659,-1.41430961993642,0.390241877570074,0.00296531041477722,0.378043641706744,0.2,0.03,0.3,0.0882893208127975,0.618632716953471,-0.88972024345551,1.97434073053947,0.969072164948454,0.969072164948454
"4",0.3,-1.34903904529911,0.741089542467067,0.310625932276183,0.00237366137960276,0.300607040281997,0.00244100230109029,0.000457672754777319,0.00421750196441063,-4.4134664506003,0.8,-1.36830363389117,0.310275269420939,0.00247386487073899,0.300612429372381,-1.41646622087184,0.396535966045686,0.00278082659940851,0.385071934499362,0.3,0.03,0.31,0.067427175572731,0.605710033622351,-0.943004516703197,2.36134596294112,0.969072164948454,0.958762886597938
"5",0.4,-1.36226597795585,0.797374128895622,0.311828226826605,0.00226703524828919,0.302062875813836,0.00243516705518578,0.000444854750781536,0.00419942894940347,-4.47029056211919,0.8,-1.40784751241853,0.312291525734387,0.00225796097540476,0.303124665914637,-1.41859342375507,0.398922333786082,0.00258801555843009,0.388230451249277,0.4,0.03,0.35,0.0563274457992213,0.640496624576129,-0.980114676832061,2.74688391754249,0.969072164948454,0.958762886597938
"6",0.5,-1.39824449825321,0.830386297232412,0.311126401609582,0.0021525095785503,0.30174270982968,0.00243906452240245,0.000430953393876628,0.004206042999879,-4.51781562109247,0.8,-1.36964212913216,0.311050920046487,0.0023155064516231,0.302082362296425,-1.42030256785488,0.397329831578688,0.00238192032271484,0.387472558281656,0.5,0.04,0.35,0.0220580696016768,0.598774807800211,-0.990142198997622,2.32116197051303,0.958333333333333,0.9375
"7",0.6,-1.39631080549899,0.865793883387109,0.308515375064611,0.00203160887960909,0.299491094067542,0.00245184679460804,0.000415790715399896,0.00423272939949681,-4.56641950758624,0.8,-1.39770473779972,0.307762403743866,0.00200416663606937,0.299690540334608,-1.42203972850744,0.391805971182121,0.00216450162250689,0.382832883267017,0.6,0.04,0.38,0.0257289230084543,0.646690665340287,-1.09480861322926,2.57109318425841,0.958333333333333,0.947916666666667
"8",0.7,-1.40111920875158,1.05929277537802,0.304052788629431,0.00190579150395371,0.295506626390596,0.00247214739002045,0.00039969101310215,0.00427224180595943,-4.58534386437731,0.8,-1.51811444773055,0.302264044377752,0.00173483297748307,0.294503907747675,-1.42372450423157,0.382514570662924,0.00194935503228089,0.374419761036544,0.7,0.05,0.39,0.0226052954799895,0.702148688929362,-1.08880991740633,3.3377349413127,0.947368421052632,0.968421052631579
"9",0.8,-1.36217422707378,1.57951595674862,0.297831197166499,0.00177666680840952,0.289793525057527,0.00249854411294599,0.000382609583349646,0.00432117596948246,-4.61924464314235,0.8,-1.40752426290534,0.298391609441611,0.00179666628332337,0.291062531468208,-1.42515397082502,0.369727684111432,0.00174386283972446,0.362475833839179,0.8,0.05,0.38,0.0629797437512365,0.843531073584255,-1.09566901252104,4.45699741098266,0.957894736842105,0.957894736842105
"10",0.9,-1.42353725701087,1.79932007517689,0.289958194799631,0.00164678921939303,0.282428865628797,0.00252822330629745,0.000364659292635362,0.00437088986697367,-4.65207143726883,0.8,-1.4915590509634,0.289003242870886,0.00150877431883154,0.282337082361182,-1.42657128024868,0.35381237049778,0.00154326253998751,0.347385613936238,0.9,0.08,0.36,0.00303402323780967,0.770895820720176,-1.13350171016228,2.60982711263957,0.923913043478261,0.934782608695652
"11",1,-1.34278668403481,4.95644189503717,0.280573285034847,0.00151668204247609,0.273640941887879,0.00255800138931489,0.000346279243725659,0.00441684136519256,-4.68239985411499,0.8,-1.5213445914832,0.278665674329857,0.00144224730117719,0.272154390662869,-1.4276400148621,0.335213199487106,0.00134955237523168,0.329587119212743,1,0.09,0.39,0.0848533308272938,1.07493664326159,-1.20796262587468,5.66114482178121,0.923076923076923,0.945054945054945
