"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent","power","bias.mean","bias.sd","bias.min","bias.max","ci.coverage.true.psi","ci.coverage.smooth.true.psi"
"1",0,-1.51209442778442,0.707497242646558,0.295678152578407,0.00212965734781705,0.285077974699446,0.00320907556900413,0.000427756515515687,0.00438362419999991,-4.4688560555387,0.8,-1.62213314137296,0.295503318337279,0.00216468952562686,0.284724240219908,-1.80892457982262,0.366781662437336,0.00229791383595353,0.35275547289994,0,0.01,0.31,0.2968301520382,0.57821095349031,-0.719073586358669,2.73101169035926,0.97979797979798,0.94949494949495
"2",0.1,-1.56766688474277,0.751801727628682,0.302317630818013,0.00200390795642565,0.291667560735529,0.0031875724842224,0.000411433674741609,0.0043616222760068,-4.55516941766223,0.8,-1.70371203549067,0.302181059580692,0.00203148989165034,0.291139457947516,-1.90038895459055,0.380226354751325,0.00207650409416011,0.366337666550221,0.1,0.01,0.28,0.332722069847774,0.619246423444088,-0.69766220298104,3.22891482075945,0.97979797979798,0.96969696969697
"3",0.2,-1.61013890441243,0.868849956787502,0.307172752182272,0.00187425157963138,0.296558184948443,0.0031848402200859,0.000394197965863143,0.00433911049146269,-4.63793578334671,0.8,-1.79990860669991,0.307292656132318,0.00185612488780393,0.296138854061087,-1.98909518051885,0.390241877570074,0.00186293162196683,0.376625864002418,0.2,0.01,0.29,0.37895627610642,0.680927064394513,-0.745520890039082,3.72873473359833,0.98989898989899,0.96969696969697
"4",0.3,-1.62853294635283,1.17122581585369,0.310196105812641,0.00174249785262129,0.299757541938712,0.00318040598506417,0.000376376395672805,0.00434890141961281,-4.72138336490255,0.8,-1.85305037022718,0.310220588174008,0.00175813005345145,0.299102128051406,-2.0831356451582,0.396535966045686,0.001643356117487,0.383340461471248,0.3,0,0.29,0.454602698805367,0.777845471546786,-0.662828616489731,4.17600264440796,0.99,0.96
"5",0.4,-1.70658702785476,1.68750412764702,0.311440399355376,0.00160979318855018,0.301078286632909,0.0031721884914838,0.000358126552226052,0.00432659072573578,-4.79252302253946,0.8,-1.84541098389038,0.311935202302821,0.00164659568288319,0.301544568396947,-2.17207041998872,0.398922333786082,0.0014482228769124,0.386212098173215,0.4,0,0.29,0.465483392133958,0.801510399238027,-0.709189075095104,5.51942850567238,0.99,0.96
"6",0.5,-1.77994750485485,1.63429299421914,0.310631911163118,0.00147974939347924,0.300602045226226,0.00318692431977408,0.000339625102780493,0.00432134084142241,-4.88779321963402,0.8,-1.90529015102394,0.310229460487847,0.00153003501640545,0.300055209482771,-2.26250051309124,0.397329831578688,0.00125773388687935,0.385246679255982,0.5,0.01,0.28,0.482553008236396,0.770378350072843,-0.738406313555373,5.29607461123863,0.98989898989899,0.95959595959596
"7",0.6,-1.8400026250576,1.29943815058423,0.307997856207361,0.00135098502239806,0.298303603726949,0.00319217963080698,0.000320928697121124,0.00432844637918041,-4.95534982368493,0.8,-2.07105512681819,0.307564568517167,0.00122115444974498,0.298016812451814,-2.35239287751851,0.391805971182121,0.00108326847196223,0.380420071596681,0.6,0.01,0.26,0.512390252460903,0.755284459677325,-0.774242422678117,4.801548841648,1,0.97979797979798
"8",0.7,-1.92890158314983,0.932842557463416,0.303575399708805,0.0012276824655755,0.294366259414512,0.00320548031621458,0.000302101620752037,0.00434398347336797,-5.02135915372117,0.8,-2.06421288205228,0.304569801516902,0.00120625677016646,0.295158164809566,-2.44480037162125,0.382514570662924,0.000920415494509668,0.371903792575809,0.7,0.02,0.28,0.515898788471417,0.624184776806969,-0.769290948473457,2.48620118572861,1,0.959183673469388
"9",0.8,-1.98878378360365,1.21465989404316,0.297394561334937,0.0011084470357222,0.288459721097185,0.00320711378041076,0.000283461463023298,0.00435565737406819,-5.10265279842803,0.8,-2.102403912533,0.297734494984997,0.00109617994034475,0.288793140331839,-2.53673341325189,0.369727684111432,0.000774810465021283,0.35993538205608,0.8,0.02,0.28,0.547949629648239,0.660705505880889,-0.711704804679402,2.50854866293962,1,0.938775510204082
"10",0.9,-1.95995771702012,2.04514465020628,0.289572628417275,0.000994732600605493,0.281106493614073,0.00322945620397952,0.000264972050164259,0.00436873912253927,-5.20143537080503,0.8,-2.13435576725359,0.28891247876472,0.00101520333888774,0.280510324285084,-2.62944443282379,0.35381237049778,0.000645459760916643,0.344862383993952,0.9,0.01,0.32,0.669486715803663,0.903986654406662,-0.740276030686775,5.28773914970494,1,0.929292929292929
"11",1,-1.90963703368614,4.28975820482587,0.280205240741327,0.000887780503902814,0.272234267057111,0.00324352020676317,0.000246686870781341,0.00437058759439926,-5.23264377672073,0.8,-2.19139711792131,0.280876470142433,0.00089836397320175,0.273016168326463,-2.71814860336196,0.335213199487106,0.000534254440352959,0.327118046143756,1,0.01,0.3,0.808511569675822,1.19316828347409,-0.822224506897076,5.53907622854541,1,0.939393939393939
