"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,1.33154170141561,0.296077854034834,0.00270149454460862,0.285177285270197,0.00254069588393585,0.000496162345706682,0.0060550604593926,-4.19427207409468,0.8,-1.39831613030595,0.297196563124051,0.00256759979977891,0.286877980343246,-1.60117028832444,0.366781662437336,0.00284811688262815,0.35265832846407,0,0.04
"0.1",NA,1.24159278511199,0.302725814760348,0.00264958356049218,0.291833987869621,0.00250751761837673,0.000489854796299555,0.00596492419880244,-4.2558468847269,0.8,-1.31692930672124,0.303857896895712,0.0028355636381443,0.293378733919327,-1.68970093927824,0.380226354751325,0.00261031782368878,0.366084017721592,0.1,0.04
"0.2",NA,3.07437117968269,0.307634472579442,0.00258359812096896,0.296826219277928,0.00248066006089974,0.000482294675892572,0.00588889499046355,-4.31255740134228,0.8,-1.35566247849066,0.307700244401833,0.00261452594292398,0.297699721876888,-1.77923812012809,0.390241877570074,0.00236914196616908,0.376203905199307,0.2,0.04
"0.3",NA,1.16536083831351,0.310716795725936,0.00250356422594359,0.300085785603025,0.00246313032204971,0.000472633140898618,0.00582951140725703,-4.37872135521697,0.8,-1.39754576857496,0.310074702691697,0.00245520615849176,0.30016272222198,-1.86916785848417,0.396535966045686,0.00212846412207594,0.382737347128889,0.3,0.04
"0.4",NA,2.65163956125971,0.311909608353138,0.00241142578299317,0.301481079007794,0.00245606429652292,0.000461782913232289,0.00580355257867742,-4.4082306328426,0.8,-1.33586322109977,0.311882422384625,0.00243859359960755,0.302679860583727,-1.95997673728308,0.398922333786082,0.00189029919613428,0.385502793720315,0.4,0.04
"0.5",NA,1.88423829484299,0.311192970272073,0.00230947723635598,0.301084506195372,0.00246043185934548,0.000449543205314392,0.00580874501648673,-4.44799521583884,0.8,-1.39691966588179,0.311107399707356,0.00228800781727864,0.301982584992935,-2.05119896438283,0.397329831578688,0.00166260992672618,0.384399348190653,0.5,0.08
"0.6",NA,1.98542980264304,0.308584230640265,0.00219755955360601,0.298815022436343,0.00247600006729943,0.000435790046728155,0.00584515783991601,-4.48620518451188,0.8,-1.51866770568988,0.308531350825722,0.00205859878219067,0.299316721727513,-2.14139721736512,0.391805971182121,0.0014494715347436,0.379469052957907,0.6,0.09
"0.7",NA,1.10995227318797,0.304127388411702,0.00208002883760246,0.294785542106933,0.00250091233050197,0.000421506015595605,0.005911227643538,-4.5071458391032,0.8,-1.40968609797848,0.303399181816088,0.00209657600969896,0.294820394633453,-2.23350487888156,0.382514570662924,0.00124773470736395,0.370870063833744,0.7,0.08
"0.8",NA,1.27828350029878,0.29790287404532,0.00195604337536522,0.28904219948784,0.00253299292395465,0.000405736672449592,0.00599257117043447,-4.52850210679508,0.8,-1.39651014015602,0.297319525030201,0.00198162079626988,0.28933470453484,-2.32315032088149,0.369727684111432,0.00106478429905295,0.3588585986498,0.8,0.08
"0.9",NA,7.10859759599836,0.29002894241326,0.00182887504306085,0.28161809627388,0.00256892046491336,0.000389176001795599,0.00608358126010912,-4.54219199534711,0.8,-1.48545302431471,0.289224280863513,0.0017201596415374,0.281711896895929,-2.41472349723214,0.35381237049778,0.000898724525047887,0.343758629719304,0.9,0.08
"1",NA,3.16086110808602,0.280631810473338,0.00169959830266554,0.272794663258617,0.0026055840509637,0.000371927863642176,0.00617048268509012,-4.55617209271617,0.8,-1.34905100566198,0.279907940736875,0.00176976066471756,0.273153945936702,-2.505631395158,0.335213199487106,0.000751490541733794,0.326006469477188,1,0.1
