"","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"0",NA,1635.63182130118,0.349846839158302,0.00169136650159877,0.347640018222735,0.0114614559010594,0.0009061452608306,0.0135156868184223,NA,0.17979797979798,-1.29751246079383,0.361854292848888,0.00314777358237874,0.350332873391248,-1.70301158803809,0.366781662437336,0.00254333883456412,0.352817568620983,0,0.232323232323232
"0.1",NA,8.46890176064073,0.372575309795954,0.00241784333256045,0.376293318675003,0.0142777979697203,0.00139529170380915,0.01667202693892,NA,0.113131313131313,-0.726470222067511,0.365504778677317,0.00372680512257359,0.357798606777812,-1.79057827363958,0.380226354751325,0.0023347200764914,0.366234571090186,0.1,0.96969696969697
"0.2",NA,4.32868021264013,0.374036763060408,0.00153662563610603,0.378869348888686,0.0129909134236198,0.000925169246124558,0.0153878762188599,NA,0.144444444444444,-1.25517655466906,0.376065090526222,0.00286994982179332,0.36599599281961,-1.88144568877254,0.390241877570074,0.00211831494743489,0.376339406136741,0.2,0.878787878787879
"0.3",NA,14053.9112169788,0.356090684710142,0.00136793673512719,0.357497872820487,0.00545687154098559,0.000449856749906166,0.00634367954739004,NA,0.424242424242424,-1.66180500150607,0.359133262698688,0.00214851327429509,0.34781314914328,-1.97284801253439,0.396535966045686,0.00189776306377701,0.382888909369666,0.3,0.181818181818182
"0.4",NA,20.3483184637838,0.35983876560033,0.00136086331614993,0.357169637484321,0.00532267105204275,0.000435836126736624,0.00619059580436586,NA,0.429292929292929,-1.72548275362382,0.359571823152714,0.00198188384541362,0.348443087250909,-2.06278900901653,0.398922333786082,0.00168903385591437,0.385633213304296,0.4,0.575757575757576
"0.5",NA,10.2520534184149,0.354658070228851,0.00135350520649136,0.35992648866893,0.00547955664643455,0.000439605404431787,0.00635263570919233,NA,0.418181818181818,-1.80257339096908,0.35921724261384,0.00180158421191784,0.348290209877175,-2.15568091245226,0.397329831578688,0.00148201150236571,0.384534489550145,0.5,0.656565656565657
"0.6",NA,9.73370956082435,0.356318778920871,0.0013700597505993,0.358513956318354,0.00556061065140755,0.000457992809485485,0.00645673055734987,NA,0.411111111111111,-1.90587454851255,0.355963349156626,0.00158556759415685,0.345299952589392,-2.24160806205203,0.391805971182121,0.00129683567037612,0.379604759566399,0.6,0.686868686868687
"0.7",NA,10.311892852014,0.358972053664873,0.00141942725197819,0.359481356448974,0.00794766197184153,0.000577636807296918,0.00922192688796969,NA,0.275757575757576,-2.11506277234017,0.360567449656665,0.00131774008530907,0.349643244485641,-2.3366611861413,0.382514570662924,0.00111365871862896,0.37099195222956,0.7,0.575757575757576
"0.8",NA,4.14713289114695,0.359567979052067,0.00193532652984295,0.354855700401729,0.0140361534635745,0.00116327980993141,0.0160521485786018,NA,0.112121212121212,-2.41953925031837,0.363537784149402,0.0010135558562796,0.35214472813834,-2.42877704312627,0.369727684111432,0.000947891153600186,0.35897385978151,0.8,0.0808080808080808
"0.9",NA,1.31421730372807,0.348251714004027,0.00289299840884575,0.367103612957308,0.014257910554509,0.00142727447832689,0.0173398129050925,NA,0.1,-2.98628205109007,0.352038157649982,0.000596429474033765,0.340221765016006,-2.51849015439212,0.35381237049778,0.000803594720345797,0.343839884124902,0.9,1
"1",NA,3.08625726300095,0.333943220437871,0.178609630841874,0.339881366587689,0.00963755849904922,0.00505110571258226,0.0115954091764719,NA,0.2,-3.13813800169513,0.333683604967189,0.000403655612403313,0.32437494829115,-2.60853748355748,0.335213199487106,0.000671372736100116,0.326096510570635,1,0.717171717171717
