"","X","psi","sd","psi1","psi2","psi3","sd1","sd2","sd3","init.psi","h","smooth.true.psi","smooth.true.psi1","smooth.true.psi2","smooth.true.psi3","true.psi","true.psi1","true.psi2","true.psi3","s1","psi_NA_percent"
"1",0,NA,0.91225366944127,0.295915847385182,0.00261933682190088,0.285070108079648,0.00489724298443791,0.000493739083374621,0.00314528422633997,-4.23867752604847,0.8,-1.4529511889782,0.295414712233239,0.00250964811105126,0.284749371842907,-1.40944206228397,0.366781662437336,0.00326609363687891,0.353411350437938,0,0.04
"2",0.1,NA,0.946021880202177,0.302367322553478,0.00254840735452702,0.291841091839186,0.004856832310718,0.000484972098825642,0.00311362547270352,-4.30201457105408,0.8,-1.40941243658397,0.302344533991747,0.00247950988629056,0.292239542954315,-1.41176319229333,0.380226354751325,0.00313086018938331,0.367379860156125,0.1,0.04
"3",0.2,NA,1.32333432363567,0.307166376319498,0.00246441917321626,0.296916280618381,0.00482620134333574,0.000474723935112859,0.00308507450513312,-4.36454178935166,0.8,-1.43564594560692,0.306974556851801,0.00247014686943713,0.296684882694671,-1.414610588279,0.390241877570074,0.00296429472529843,0.37804414931554,0.2,0.04
"4",0.3,NA,14.3978172983803,0.310079647169039,0.00236879849014715,0.300228491412171,0.00480567041657359,0.000463029569336681,0.00306450116716297,-4.41530712549214,0.8,-1.44200264558436,0.310311544043482,0.00234665180674456,0.300388735490465,-1.4165786579589,0.396535966045686,0.00278552008649922,0.385051294243667,0.3,0.04
"5",0.4,NA,1.38043056160934,0.311214309340427,0.0022630848455162,0.301750899471019,0.00480109054489449,0.00044989707445565,0.00305484593555687,-4.46932208821293,0.8,-1.4297603497503,0.312279996741586,0.00217875240783313,0.303199237772447,-1.41862993191969,0.398922333786082,0.00257963224601569,0.388264696189066,0.4,0.07
"6",0.5,NA,2.77925146232996,0.310382784979541,0.00214964655778957,0.301441323540869,0.00480801497565034,0.000435655476221747,0.00305831198782646,-4.52322950379226,0.8,-1.38334011196297,0.310599200098399,0.00230259059941649,0.301519245592831,-1.42028427401393,0.397329831578688,0.00238076214191853,0.387477531503145,0.5,0.08
"7",0.6,NA,1.95999644128873,0.307654341510318,0.00202901499445447,0.299285185641902,0.00481635277041054,0.00042015117201934,0.00307318227814806,-4.5479452398219,0.8,-1.33199317941457,0.307420692389452,0.0021463541677399,0.299333013038418,-1.42230084922212,0.391805971182121,0.00216566330425704,0.382825722813985,0.6,0.09
"8",0.7,NA,5.13411131463687,0.303129093692721,0.00190355551701624,0.295332524374142,0.00484338814126669,0.000403583971758719,0.00309797736974917,-4.58636884374407,0.8,-1.53029679962542,0.303502757993121,0.00169121941307791,0.295760470809849,-1.42362861289469,0.382514570662924,0.00195526761940422,0.374395987215362,0.7,0.1
"9",0.8,NA,1.8328813873583,0.296908878829148,0.00177619193487031,0.289656193969342,0.00488124471257531,0.000386274807509513,0.0031268362854686,-4.61762801671892,0.8,-1.57798125627081,0.296860388955231,0.00155982864386393,0.28946656555151,-1.42526528275838,0.369727684111432,0.00174220332981885,0.362481928413749,0.8,0.13
"10",0.9,NA,1.99383664783485,0.289034956971341,0.00164550313337774,0.282329145547233,0.00492307949761331,0.000368026705015277,0.00315662542260771,-4.64669901477782,0.8,-1.47509107678177,0.289058677402146,0.00160922077418898,0.282132092137589,-1.4265513941423,0.35381237049778,0.00154268034190848,0.347388166193351,0.9,0.15
"11",1,NA,2.55556781737115,0.2796680114233,0.00151635774099628,0.273525540932212,0.00496380800953005,0.000349330962163272,0.00318485811577452,-4.6712756199003,0.8,-1.37009312094765,0.280517091795524,0.00151445661137403,0.274613021863949,-1.42765013013812,0.335213199487106,0.00134888743148582,0.329589834381311,1,0.16
